                   0en|i   |y        |
                   5|00000000 |xxx  | 1|
                  10|00000001 |000  | 0|
                  20|00000010 |001  | 0|
                  30|00000011 |001  | 0|
                  40|00000100 |010  | 0|
                  50|00000101 |010  | 0|
                  60|00000110 |010  | 0|
                  70|00000111 |010  | 0|
                  80|00001000 |011  | 0|
                  90|00001001 |011  | 0|
                 100|00001010 |011  | 0|
                 110|00001011 |011  | 0|
                 120|00001100 |011  | 0|
                 130|00001101 |011  | 0|
                 140|00001110 |011  | 0|
                 150|00001111 |011  | 0|
                 160|00010000 |100  | 0|
                 170|00010001 |100  | 0|
                 180|00010010 |100  | 0|
                 190|00010011 |100  | 0|
                 200|00010100 |100  | 0|
                 210|00010101 |100  | 0|
                 220|00010110 |100  | 0|
                 230|00010111 |100  | 0|
                 240|00011000 |100  | 0|
                 250|00011001 |100  | 0|
                 260|00011010 |100  | 0|
                 270|00011011 |100  | 0|
                 280|00011100 |100  | 0|
                 290|00011101 |100  | 0|
                 300|00011110 |100  | 0|
                 310|00011111 |100  | 0|
                 320|00100000 |101  | 0|
                 330|00100001 |101  | 0|
                 340|00100010 |101  | 0|
                 350|00100011 |101  | 0|
                 360|00100100 |101  | 0|
                 370|00100101 |101  | 0|
                 380|00100110 |101  | 0|
                 390|00100111 |101  | 0|
                 400|00101000 |101  | 0|
                 410|00101001 |101  | 0|
                 420|00101010 |101  | 0|
                 430|00101011 |101  | 0|
                 440|00101100 |101  | 0|
                 450|00101101 |101  | 0|
                 460|00101110 |101  | 0|
                 470|00101111 |101  | 0|
                 480|00110000 |101  | 0|
                 490|00110001 |101  | 0|
                 500|00110010 |101  | 0|
                 510|00110011 |101  | 0|
                 520|00110100 |101  | 0|
                 530|00110101 |101  | 0|
                 540|00110110 |101  | 0|
                 550|00110111 |101  | 0|
                 560|00111000 |101  | 0|
                 570|00111001 |101  | 0|
                 580|00111010 |101  | 0|
                 590|00111011 |101  | 0|
                 600|00111100 |101  | 0|
                 610|00111101 |101  | 0|
                 620|00111110 |101  | 0|
                 630|00111111 |101  | 0|
                 640|01000000 |110  | 0|
                 650|01000001 |110  | 0|
                 660|01000010 |110  | 0|
                 670|01000011 |110  | 0|
                 680|01000100 |110  | 0|
                 690|01000101 |110  | 0|
                 700|01000110 |110  | 0|
                 710|01000111 |110  | 0|
                 720|01001000 |110  | 0|
                 730|01001001 |110  | 0|
                 740|01001010 |110  | 0|
                 750|01001011 |110  | 0|
                 760|01001100 |110  | 0|
                 770|01001101 |110  | 0|
                 780|01001110 |110  | 0|
                 790|01001111 |110  | 0|
                 800|01010000 |110  | 0|
                 810|01010001 |110  | 0|
                 820|01010010 |110  | 0|
                 830|01010011 |110  | 0|
                 840|01010100 |110  | 0|
                 850|01010101 |110  | 0|
                 860|01010110 |110  | 0|
                 870|01010111 |110  | 0|
                 880|01011000 |110  | 0|
                 890|01011001 |110  | 0|
                 900|01011010 |110  | 0|
                 910|01011011 |110  | 0|
                 920|01011100 |110  | 0|
                 930|01011101 |110  | 0|
                 940|01011110 |110  | 0|
                 950|01011111 |110  | 0|
                 960|01100000 |110  | 0|
                 970|01100001 |110  | 0|
                 980|01100010 |110  | 0|
